CatchID,sig_mag_BaseMag,sig_mag_BFI,sig_mag_Q_7_day_max,sig_mag_Q_7_day_min,sig_mag_Q_CoV,sig_mag_Q_mean,sig_mag_Q_skew,sig_mag_Q_var,sig_mag_Q5,sig_mag_Q95,sig_mag_VarIdx,sig_freq_high_Q_freq,sig_freq_low_Q_freq,sig_freq_zero_Q_freq,sig_dur_RespTime,sig_dur_high_Q_dur,sig_dur_low_Q_dur,sig_dur_zero_Q_dur,sig_timing_HFD_mean,sig_timing_HFI_mean,sig_roc_AC1,sig_roc_AC1_low,sig_roc_BaseRecesK,sig_roc_FDC_slope,sig_roc_FlashIdx,sig_roc_RecesK_early,sig_roc_RecesVarSeasonality,sig_roc_RLD,sig_other_EventRR,sig_other_PeakDistribution,sig_other_PeakDistribution_low,sig_other_QP_elasticity,sig_other_RR_seasonality,sig_other_SnowDayRatio,sig_other_SnowStorage,sig_other_Spearmans_rho,sig_other_StorageFromBase,sig_other_TotalRR,sig_other_ratio_Event_TotalRR
912101A,0.088548127,0.278888967,103.2685314,0.04410227,6.250492819,0.154611662,16.83953448,0.933927192,0.0133314,0.32573525,0.292867327,0.059597381,0.547329132,0.0,2,4.821782178,30.21959459,0.0,263.0294118,110.0882353,0.811334849,0.774424917,0.082341251,-1.916732852,0.484892161,0.154507924,2.538455941,0.427471117,0.042370201,-6.157808024,-2.18062251,1.823997607,0.676326266,0.0,36.92000949,-0.656519088,192.1315654,0.110230557,0.384378003
912105A,0.071328,0.252596026,100.4040762,0.04624832,5.290338162,0.178819653,13.31769202,0.89494709,0.0144849,0.53530357,0.304693658,0.072612369,0.568323983,0.0,1,4.895652174,30.07849829,0.0,273.32,103.8,0.82708636,0.759899417,0.153446406,-1.795139059,0.469615591,0.226484525,2.851480579,0.45254602,0.059732538,-7.828136301,-1.254491016,1.580726181,0.728120351,0.0,36.88850246,-0.778926753,210.3210982,0.131529121,0.454139261
915011A,0.122790626,0.10454471,109.7495047,0.0,7.023210755,0.167457336,26.65714671,1.383183364,0.0,0.47116045,1.08364625,0.304238743,0.858576522,0.474844844,1,21.43255814,50.99607843,51.0070922,283.7368421,33.05263158,0.606535384,0.389049161,0.261773682,,0.721981096,0.411288463,2.103760765,0.441297935,0.04031919,-10.09998228,-6.090787518,2.259663929,2.793575827,0.0,110.7870603,-0.943273729,351.2351455,0.079991119,0.504045824
915206A,0.047723259,0.042303578,264.8792874,0.0,9.222278993,0.241238081,23.44022755,4.949578788,0.0,0.49244887,1.009843405,0.26268972,0.888919775,0.73731028,1,22.18309859,45.03943662,61.11520737,293.9130435,34.7173913,0.590067503,0.395159485,0.30616124,,0.984826017,0.883970762,3.953278659,0.655857741,0.093730993,-6.242890774,-8.491229927,1.393050445,4.711411096,0.0,55.53810562,-0.934216886,252.1415811,0.15735089,0.595681361
917107A,0.197626537,0.281223815,198.9963744,0.0,4.917521251,0.292436463,13.24262659,2.068023814,0.00094261,1.0459245,0.641856199,0.105040668,0.637093322,0.01557149,1,9.046082949,46.69019608,13.22727273,277.625,103.0416667,0.743443271,0.694232832,0.112014287,-3.957062211,0.510391784,0.155748432,2.16034671,0.509462366,0.063902319,-8.886823044,-3.631162093,1.947222067,0.643322417,0.0,52.83308334,-0.757613039,326.5554115,0.138845441,0.460240674
